"www.aihw.gov.au
Australian Institute of Health and Welfare
GPO Box 570, Canberra ACT 2601, Australia",,,,,,,,,,,,,
MyHospitals mapping details,,,,,,,,,,,,,
"Data as of: Wednesday, May 28, 2025, version: 2025052801",,,,,,,,,,,,,
Code,Name,Type,Latitude,Longitude,Sector,Open/Closed,State,Local Hospital Network (LHN),Primary Health Network area (PHN),,,,
H0012,State Forensic Mental Health Service,Hospital,-31.960937,115.788431,Public,Open,Western Australia,North Metropolitan Health Service (WA),Perth North,,,,
H0013,Justice Health Services,Hospital,-33.969070,151.243206,Public,Open,New South Wales,Justice Health & Forensic Mental Health,Central and Eastern Sydney,,,,
H0014,The Children's Hospital at Westmead,Hospital,-33.801554,150.991759,Public,Open,New South Wales,Sydney Children's Hospitals Network,Western Sydney,,,,
H0015,Sydney Children's Hospital,Hospital,-33.917179,151.238334,Public,Open,New South Wales,Sydney Children's Hospitals Network,Central and Eastern Sydney,,,,
H0016,Sacred Heart Health Service,Hospital,-33.880525,151.219237,Public,Open,New South Wales,Unknown,Central and Eastern Sydney,,,,
H0017,St Vincent's Hospital [Darlinghurst],Hospital,-33.879692,151.221125,Public,Open,New South Wales,St Vincent's Health Network,Central and Eastern Sydney,,,,
H0018,St Joseph's Hospital,Hospital,-33.848659,151.028339,Public,Open,New South Wales,St Vincent's Health Network,Western Sydney,,,,
H0019,Balmain Hospital,Hospital,-33.859469,151.181469,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0020,Canterbury Hospital,Hospital,-33.919592,151.098275,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0021,Royal Prince Alfred Hospital,Hospital,-33.889251,151.182926,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0022,Tresillian Care Centres,Hospital,-33.918732,151.097526,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0023,Concord Repatriation Hospital,Hospital,-33.837288,151.092664,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,Hospital,-33.888280,151.180707,Public,Open,New South Wales,Sydney,Central and Eastern Sydney,,,,
H0025,Karitane,Hospital,-33.879777,150.965763,Public,Open,New South Wales,South Western Sydney,South Western Sydney,,,,
H0026,Camden Hospital,Hospital,-34.062702,150.693297,Public,Open,New South Wales,South Western Sydney,South Western Sydney,,,,
H0027,Fairfield Hospital,Hospital,-33.860117,150.904339,Public,Open,New South Wales,South Western Sydney,South Western Sydney,,,,
H0028,Liverpool Hospital,Hospital,-33.919966,150.930776,Public,Open,New South Wales,South Western Sydney,South Western Sydney,,,,
H0029,Campbelltown Hospital,Hospital,-34.077651,150.806321,Public,Open,New South Wales,South Western Sydney,South Western Sydney,,,,
